৭৫ জিবি + ১৫০০ মিনিট | ৩০ দিন | ৮৯১ টাকা
৩০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৩৯৬ টাকা
২০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৩৪০ টাকা
২০ জিবি + ২০০ মিনিট | ৩০ দিন | ৩৩১ টাকা
১০০ জিবি | ৩০ দিন | ৭০৪ টাকা
৮০ জিবি | ৩০ দিন | ৬২৪ টাকা
৬০ জিবি | ৩০ দিন | ৫৮২ টাকা
৫৫ জিবি | ৩০ দিন | ৫৫৫ টাকা
৫০ জিবি | ৩০ দিন | ৫৪১ টাকা
৪৫ জিবি | ৩০ দিন | ৫২৪ টাকা
৪০ জিবি | ৩০ দিন | ৫০১ টাকা
৩৫ জিবি | ৩০ দিন | ৪৭৯ টাকা
৩০ জিবি | ৩০ দিন | ৪৫৭ টাকা
২৫ জিবি | ৩০ দিন | ৪৩৮ টাকা
২০ জিবি | ৩০ দিন | ৩৬৬ টাকা
১৫ জিবি | ৩০ দিন | ৩১৮ টাকা
১০ জিবি | ৩০ দিন | ২৭৮ টাকা
৫০ জিবি | ৩০ দিন | ৪৯০ টাকা
৪০ জিবি | ৩০ দিন | ৪৪০ টাকা
৩৫ জিবি | ৩০ দিন | ৪০০ টাকা
৩০ জিবি | ৩০ দিন | ৩৭৫ টাকা
২৫ জিবি | ৩০ দিন | ৩৬০ টাকা
২০ জিবি | ৩০ দিন | ২৯৫ টাকা
১৫ জিবি | ৩০ দিন | ২৭০ টাকা
১০ জিবি | ৩০ দিন | ২৩০ টাকা
Unlimited জিবি | ৩০ দিন | ৮৭০ টাকা
৯০ জিবি | ৩০ দিন | ৭১১ টাকা
৬৫/১০০ জিবি | ৩০ দিন | ৬২২ টাকা
৭০ জিবি | ৩০ দিন | ৫৬৩ টাকা
৪৫/৫০ জিবি | ৩০ দিন | ৪৭৮ টাকা
২০ জিবি | ৩০ দিন | ২৯৭ টাকা
১০০০ মিনিট | ৩০ দিন | ৬০৭ টাকা
৮০০ মিনিট | ৩০ দিন | ৪৮৬ টাকা
৭০০ মিনিট | ৩০ দিন | ৪২৮ টাকা
৫০০ মিনিট | ৩০ দিন | ৩০৮ টাকা
৩০০ মিনিট | ৩০ দিন | ১৯৪ টাকা
২০০ মিনিট | ৩০ দিন | ১৫৯ টাকা
১০০০ মিনিট | ৩০ দিন | ৩৯০ টাকা
৮০০ মিনিট | ৩০ দিন | ৩৬০ টাকা
৭০০ মিনিট | ৩০ দিন | ৩৫০ টাকা
৬০০ মিনিট | ৩০ দিন | ৩১০ টাকা
৫০০ মিনিট | ৩০ দিন | ২৮০ টাকা
৪০০ মিনিট | ৩০ দিন | ২৫০ টাকা
৩০০ মিনিট | ৩০ দিন | ২২০ টাকা
১০০০ মিনিট | ৩০ দিন | ৫৬৪ টাকা
৮৪৫ মিনিট | ৩০ দিন | ৪৭৫ টাকা
৬৮০ মিনিট | ৩০ দিন | ৩৮৬ টাকা
৫০০ মিনিট | ৩০ দিন | ২৯৭ টাকা
৩৫০ মিনিট | ৩০ দিন | ২৪৭ টাকা
২৫০ মিনিট | ৩০ দিন | ২০০ টাকা
